Year,Region,Country,Country Code,Religion,Subreligion,Followers
1975,Mideast,Iran,IRN,Christianity,Other,0
1980,Mideast,Iran,IRN,Christianity,Other,145700
1985,Mideast,Iran,IRN,Christianity,Other,0
1990,Mideast,Iran,IRN,Christianity,Other,114033
1995,Mideast,Iran,IRN,Christianity,Other,57016
2000,Mideast,Iran,IRN,Christianity,Other,0
2005,Mideast,Iran,IRN,Christianity,Other,0
2010,Mideast,Iran,IRN,Christianity,Other,0
1945,Mideast,Turkey,TUR,Christianity,Other,5391
1950,Mideast,Turkey,TUR,Christianity,Other,0
1955,Mideast,Turkey,TUR,Christianity,Other,13528
1960,Mideast,Turkey,TUR,Christianity,Other,20352
1965,Mideast,Turkey,TUR,Christianity,Other,0
1970,Mideast,Turkey,TUR,Christianity,Other,42155
1975,Mideast,Turkey,TUR,Christianity,Other,65277
1980,Mideast,Turkey,TUR,Christianity,Other,88400
1985,Mideast,Turkey,TUR,Christianity,Other,100070
1990,Mideast,Turkey,TUR,Christianity,Other,108200
1995,Mideast,Turkey,TUR,Christianity,Other,120000
2000,Mideast,Turkey,TUR,Christianity,Other,126000
2005,Mideast,Turkey,TUR,Christianity,Other,124000
2010,Mideast,Turkey,TUR,Christianity,Other,132126
1945,Mideast,Iraq,IRQ,Christianity,Other,50941
1950,Mideast,Iraq,IRQ,Christianity,Other,51980
1955,Mideast,Iraq,IRQ,Christianity,Other,53999
1960,Mideast,Iraq,IRQ,Christianity,Other,50819
1965,Mideast,Iraq,IRQ,Christianity,Other,0
1970,Mideast,Iraq,IRQ,Christianity,Other,0
1975,Mideast,Iraq,IRQ,Christianity,Other,122621
1980,Mideast,Iraq,IRQ,Christianity,Other,245242
1985,Mideast,Iraq,IRQ,Christianity,Other,0
1990,Mideast,Iraq,IRQ,Christianity,Other,0
1995,Mideast,Iraq,IRQ,Christianity,Other,0
2000,Mideast,Iraq,IRQ,Christianity,Other,0
2005,Mideast,Iraq,IRQ,Christianity,Other,0
2010,Mideast,Iraq,IRQ,Christianity,Other,0
1945,Mideast,Egypt,EGY,Christianity,Other,0
1950,Mideast,Egypt,EGY,Christianity,Other,0
1955,Mideast,Egypt,EGY,Christianity,Other,476250
1960,Mideast,Egypt,EGY,Christianity,Other,952500
1965,Mideast,Egypt,EGY,Christianity,Other,275000
1970,Mideast,Egypt,EGY,Christianity,Other,1174765
1975,Mideast,Egypt,EGY,Christianity,Other,234953
1980,Mideast,Egypt,EGY,Christianity,Other,1818960
1985,Mideast,Egypt,EGY,Christianity,Other,1860779
1990,Mideast,Egypt,EGY,Christianity,Other,840700
1995,Mideast,Egypt,EGY,Christianity,Other,876862
2000,Mideast,Egypt,EGY,Christianity,Other,450000
2005,Mideast,Egypt,EGY,Christianity,Other,365210
2010,Mideast,Egypt,EGY,Christianity,Other,406387
1950,Mideast,Syria,SYR,Christianity,Other,0
1955,Mideast,Syria,SYR,Christianity,Other,0
1960,Mideast,Syria,SYR,Christianity,Other,0
1965,Mideast,Syria,SYR,Christianity,Other,0
1970,Mideast,Syria,SYR,Christianity,Other,63050
1975,Mideast,Syria,SYR,Christianity,Other,203530
1980,Mideast,Syria,SYR,Christianity,Other,344011
1985,Mideast,Syria,SYR,Christianity,Other,100000
1990,Mideast,Syria,SYR,Christianity,Other,0
1995,Mideast,Syria,SYR,Christianity,Other,0
2000,Mideast,Syria,SYR,Christianity,Other,0
2005,Mideast,Syria,SYR,Christianity,Other,0
2010,Mideast,Syria,SYR,Christianity,Other,0
1945,Mideast,Lebanon,LEB,Christianity,Other,0
1950,Mideast,Lebanon,LEB,Christianity,Other,0
1955,Mideast,Lebanon,LEB,Christianity,Other,0
1960,Mideast,Lebanon,LEB,Christianity,Other,0
1965,Mideast,Lebanon,LEB,Christianity,Other,0
1970,Mideast,Lebanon,LEB,Christianity,Other,0
1975,Mideast,Lebanon,LEB,Christianity,Other,0
1980,Mideast,Lebanon,LEB,Christianity,Other,0
1985,Mideast,Lebanon,LEB,Christianity,Other,0
1990,Mideast,Lebanon,LEB,Christianity,Other,0
1995,Mideast,Lebanon,LEB,Christianity,Other,0
2000,Mideast,Lebanon,LEB,Christianity,Other,0
2005,Mideast,Lebanon,LEB,Christianity,Other,285740
2010,Mideast,Lebanon,LEB,Christianity,Other,285670
1945,Mideast,Jordan,JOR,Christianity,Other,52000
1950,Mideast,Jordan,JOR,Christianity,Other,0
1955,Mideast,Jordan,JOR,Christianity,Other,88110
1960,Mideast,Jordan,JOR,Christianity,Other,100000
1965,Mideast,Jordan,JOR,Christianity,Other,44000
1970,Mideast,Jordan,JOR,Christianity,Other,22990
1975,Mideast,Jordan,JOR,Christianity,Other,161200
1980,Mideast,Jordan,JOR,Christianity,Other,36260
1985,Mideast,Jordan,JOR,Christianity,Other,49980
1990,Mideast,Jordan,JOR,Christianity,Other,0
1995,Mideast,Jordan,JOR,Christianity,Other,109054
2000,Mideast,Jordan,JOR,Christianity,Other,20007
2005,Mideast,Jordan,JOR,Christianity,Other,16419
2010,Mideast,Jordan,JOR,Christianity,Other,18336
1950,Mideast,Israel,ISR,Christianity,Other,5339
1955,Mideast,Israel,ISR,Christianity,Other,4055
1960,Mideast,Israel,ISR,Christianity,Other,10509
1965,Mideast,Israel,ISR,Christianity,Other,5254
1970,Mideast,Israel,ISR,Christianity,Other,5254
1975,Mideast,Israel,ISR,Christianity,Other,0
1980,Mideast,Israel,ISR,Christianity,Other,0
1985,Mideast,Israel,ISR,Christianity,Other,0
1990,Mideast,Israel,ISR,Christianity,Other,0
1995,Mideast,Israel,ISR,Christianity,Other,0
2000,Mideast,Israel,ISR,Christianity,Other,0
2005,Mideast,Israel,ISR,Christianity,Other,0
2010,Mideast,Israel,ISR,Christianity,Other,0
1945,Mideast,Saudi Arabia,SAU,Christianity,Other,0
1950,Mideast,Saudi Arabia,SAU,Christianity,Other,0
1955,Mideast,Saudi Arabia,SAU,Christianity,Other,0
1960,Mideast,Saudi Arabia,SAU,Christianity,Other,0
1965,Mideast,Saudi Arabia,SAU,Christianity,Other,0
1970,Mideast,Saudi Arabia,SAU,Christianity,Other,0
1975,Mideast,Saudi Arabia,SAU,Christianity,Other,44500
1980,Mideast,Saudi Arabia,SAU,Christianity,Other,89000
1985,Mideast,Saudi Arabia,SAU,Christianity,Other,44500
1990,Mideast,Saudi Arabia,SAU,Christianity,Other,0
1995,Mideast,Saudi Arabia,SAU,Christianity,Other,0
2000,Mideast,Saudi Arabia,SAU,Christianity,Other,0
2005,Mideast,Saudi Arabia,SAU,Christianity,Other,0
2010,Mideast,Saudi Arabia,SAU,Christianity,Other,0
1945,Mideast,Yemen Arab Republic,YAR,Christianity,Other,0
1950,Mideast,Yemen Arab Republic,YAR,Christianity,Other,0
1955,Mideast,Yemen Arab Republic,YAR,Christianity,Other,0
1960,Mideast,Yemen Arab Republic,YAR,Christianity,Other,0
1965,Mideast,Yemen Arab Republic,YAR,Christianity,Other,0
1970,Mideast,Yemen Arab Republic,YAR,Christianity,Other,0
1975,Mideast,Yemen Arab Republic,YAR,Christianity,Other,1500
1980,Mideast,Yemen Arab Republic,YAR,Christianity,Other,2200
1985,Mideast,Yemen Arab Republic,YAR,Christianity,Other,0
1990,Mideast,Yemen Arab Republic,YAR,Christianity,Other,0
1990,Mideast,Yemen,YEM,Christianity,Other,0
1995,Mideast,Yemen,YEM,Christianity,Other,0
2000,Mideast,Yemen,YEM,Christianity,Other,0
2005,Mideast,Yemen,YEM,Christianity,Other,0
2010,Mideast,Yemen,YEM,Christianity,Other,0
1970,Mideast,Yemen People's Republic,YPR,Christianity,Other,0
1975,Mideast,Yemen People's Republic,YPR,Christianity,Other,0
1980,Mideast,Yemen People's Republic,YPR,Christianity,Other,0
1985,Mideast,Yemen People's Republic,YPR,Christianity,Other,0
1990,Mideast,Yemen People's Republic,YPR,Christianity,Other,0
1960,Mideast,Kuwait,KUW,Christianity,Other,14780
1965,Mideast,Kuwait,KUW,Christianity,Other,24640
1970,Mideast,Kuwait,KUW,Christianity,Other,7470
1975,Mideast,Kuwait,KUW,Christianity,Other,40280
1980,Mideast,Kuwait,KUW,Christianity,Other,12300
1985,Mideast,Kuwait,KUW,Christianity,Other,15442
1990,Mideast,Kuwait,KUW,Christianity,Other,46600
1995,Mideast,Kuwait,KUW,Christianity,Other,36805
2000,Mideast,Kuwait,KUW,Christianity,Other,0
2005,Mideast,Kuwait,KUW,Christianity,Other,0
2010,Mideast,Kuwait,KUW,Christianity,Other,0
1970,Mideast,Bahrain,BAH,Christianity,Other,6590
1975,Mideast,Bahrain,BAH,Christianity,Other,10000
1980,Mideast,Bahrain,BAH,Christianity,Other,4790
1985,Mideast,Bahrain,BAH,Christianity,Other,0
1990,Mideast,Bahrain,BAH,Christianity,Other,15050
1995,Mideast,Bahrain,BAH,Christianity,Other,17294
2000,Mideast,Bahrain,BAH,Christianity,Other,12000
2005,Mideast,Bahrain,BAH,Christianity,Other,19388
2010,Mideast,Bahrain,BAH,Christianity,Other,26777
1970,Mideast,Qatar,QAT,Christianity,Other,0
1975,Mideast,Qatar,QAT,Christianity,Other,0
1980,Mideast,Qatar,QAT,Christianity,Other,0
1985,Mideast,Qatar,QAT,Christianity,Other,0
1990,Mideast,Qatar,QAT,Christianity,Other,17500
1995,Mideast,Qatar,QAT,Christianity,Other,9733
2000,Mideast,Qatar,QAT,Christianity,Other,5852
2005,Mideast,Qatar,QAT,Christianity,Other,4273
2010,Mideast,Qatar,QAT,Christianity,Other,16603
1970,Mideast,United Arab Emirates,UAE,Christianity,Other,0
1975,Mideast,United Arab Emirates,UAE,Christianity,Other,11000
1980,Mideast,United Arab Emirates,UAE,Christianity,Other,11720
1985,Mideast,United Arab Emirates,UAE,Christianity,Other,17920
1990,Mideast,United Arab Emirates,UAE,Christianity,Other,24000
1995,Mideast,United Arab Emirates,UAE,Christianity,Other,28909
2000,Mideast,United Arab Emirates,UAE,Christianity,Other,22821
2005,Mideast,United Arab Emirates,UAE,Christianity,Other,36521
2010,Mideast,United Arab Emirates,UAE,Christianity,Other,75005
1970,Mideast,Oman,OMA,Christianity,Other,0
1975,Mideast,Oman,OMA,Christianity,Other,0
1980,Mideast,Oman,OMA,Christianity,Other,6460
1985,Mideast,Oman,OMA,Christianity,Other,8146
1990,Mideast,Oman,OMA,Christianity,Other,42700
1995,Mideast,Oman,OMA,Christianity,Other,52000
2000,Mideast,Oman,OMA,Christianity,Other,10200
2005,Mideast,Oman,OMA,Christianity,Other,12000
2010,Mideast,Oman,OMA,Christianity,Other,17900
1945,Mideast,Afghanistan,AFG,Christianity,Other,0
1950,Mideast,Afghanistan,AFG,Christianity,Other,1
1955,Mideast,Afghanistan,AFG,Christianity,Other,952
1960,Mideast,Afghanistan,AFG,Christianity,Other,1903
1965,Mideast,Afghanistan,AFG,Christianity,Other,2854
1970,Mideast,Afghanistan,AFG,Christianity,Other,3806
1975,Mideast,Afghanistan,AFG,Christianity,Other,3579
1980,Mideast,Afghanistan,AFG,Christianity,Other,3352
1985,Mideast,Afghanistan,AFG,Christianity,Other,3126
1990,Mideast,Afghanistan,AFG,Christianity,Other,2900
1995,Mideast,Afghanistan,AFG,Christianity,Other,2632
2000,Mideast,Afghanistan,AFG,Christianity,Other,2365
2005,Mideast,Afghanistan,AFG,Christianity,Other,5422
2010,Mideast,Afghanistan,AFG,Christianity,Other,1022
1995,Asia,Turkmenistan,TKM,Christianity,Other,0
2000,Asia,Turkmenistan,TKM,Christianity,Other,0
2005,Asia,Turkmenistan,TKM,Christianity,Other,0
2010,Asia,Turkmenistan,TKM,Christianity,Other,0
1995,Asia,Tajikistan,TAJ,Christianity,Other,15625
2000,Asia,Tajikistan,TAJ,Christianity,Other,0
2005,Asia,Tajikistan,TAJ,Christianity,Other,0
2010,Asia,Tajikistan,TAJ,Christianity,Other,0
1995,Asia,Kyrgyzstan,KYR,Christianity,Other,68000
2000,Asia,Kyrgyzstan,KYR,Christianity,Other,20000
2005,Asia,Kyrgyzstan,KYR,Christianity,Other,154320
2010,Asia,Kyrgyzstan,KYR,Christianity,Other,100000
1995,Asia,Uzbekistan,UZB,Christianity,Other,0
2000,Asia,Uzbekistan,UZB,Christianity,Other,180000
2005,Asia,Uzbekistan,UZB,Christianity,Other,240000
2010,Asia,Uzbekistan,UZB,Christianity,Other,281605
1995,Asia,Kazakhstan,KZK,Christianity,Other,204108
2000,Asia,Kazakhstan,KZK,Christianity,Other,0
2005,Asia,Kazakhstan,KZK,Christianity,Other,0
2010,Asia,Kazakhstan,KZK,Christianity,Other,0
1945,Asia,China,CHN,Christianity,Other,0
1950,Asia,China,CHN,Christianity,Other,67483
1955,Asia,China,CHN,Christianity,Other,0
1960,Asia,China,CHN,Christianity,Other,248802
1965,Asia,China,CHN,Christianity,Other,0
1970,Asia,China,CHN,Christianity,Other,213900
1975,Asia,China,CHN,Christianity,Other,8107814
1980,Asia,China,CHN,Christianity,Other,16001727
1985,Asia,China,CHN,Christianity,Other,23895641
1990,Asia,China,CHN,Christianity,Other,31789557
1995,Asia,China,CHN,Christianity,Other,39683470
2000,Asia,China,CHN,Christianity,Other,12775580
2005,Asia,China,CHN,Christianity,Other,15644639
2010,Asia,China,CHN,Christianity,Other,16142091
1945,Asia,Mongolia,MON,Christianity,Other,0
1950,Asia,Mongolia,MON,Christianity,Other,0
1955,Asia,Mongolia,MON,Christianity,Other,24
1960,Asia,Mongolia,MON,Christianity,Other,49
1965,Asia,Mongolia,MON,Christianity,Other,73
1970,Asia,Mongolia,MON,Christianity,Other,97
1975,Asia,Mongolia,MON,Christianity,Other,643
1980,Asia,Mongolia,MON,Christianity,Other,1190
1985,Asia,Mongolia,MON,Christianity,Other,1358
1990,Asia,Mongolia,MON,Christianity,Other,3327
1995,Asia,Mongolia,MON,Christianity,Other,9071
2000,Asia,Mongolia,MON,Christianity,Other,10000
2005,Asia,Mongolia,MON,Christianity,Other,10706
2010,Asia,Mongolia,MON,Christianity,Other,20183
1950,Asia,Taiwan,TAW,Christianity,Other,69658
1955,Asia,Taiwan,TAW,Christianity,Other,80601
1960,Asia,Taiwan,TAW,Christianity,Other,111543
1965,Asia,Taiwan,TAW,Christianity,Other,132486
1970,Asia,Taiwan,TAW,Christianity,Other,353428
1975,Asia,Taiwan,TAW,Christianity,Other,404634
1980,Asia,Taiwan,TAW,Christianity,Other,455840
1985,Asia,Taiwan,TAW,Christianity,Other,542070
1990,Asia,Taiwan,TAW,Christianity,Other,623300
1995,Asia,Taiwan,TAW,Christianity,Other,396304
2000,Asia,Taiwan,TAW,Christianity,Other,280000
2005,Asia,Taiwan,TAW,Christianity,Other,325000
2010,Asia,Taiwan,TAW,Christianity,Other,291456
1950,Asia,North Korea,PRK,Christianity,Other,114719
1955,Asia,North Korea,PRK,Christianity,Other,87410
1960,Asia,North Korea,PRK,Christianity,Other,106442
1965,Asia,North Korea,PRK,Christianity,Other,122654
1970,Asia,North Korea,PRK,Christianity,Other,152186
1975,Asia,North Korea,PRK,Christianity,Other,184533
1980,Asia,North Korea,PRK,Christianity,Other,173900
1985,Asia,North Korea,PRK,Christianity,Other,275890
1990,Asia,North Korea,PRK,Christianity,Other,291260
1995,Asia,North Korea,PRK,Christianity,Other,408527
2000,Asia,North Korea,PRK,Christianity,Other,350000
2005,Asia,North Korea,PRK,Christianity,Other,345937
2010,Asia,North Korea,PRK,Christianity,Other,355172
1950,Asia,South Korea,ROK,Christianity,Other,717460
1955,Asia,South Korea,ROK,Christianity,Other,505787
1960,Asia,South Korea,ROK,Christianity,Other,730628
1965,Asia,South Korea,ROK,Christianity,Other,1502369
1970,Asia,South Korea,ROK,Christianity,Other,2802966
1975,Asia,South Korea,ROK,Christianity,Other,4434283
1980,Asia,South Korea,ROK,Christianity,Other,6065600
1985,Asia,South Korea,ROK,Christianity,Other,0
1990,Asia,South Korea,ROK,Christianity,Other,0
1995,Asia,South Korea,ROK,Christianity,Other,0
2000,Asia,South Korea,ROK,Christianity,Other,0
2005,Asia,South Korea,ROK,Christianity,Other,0
2010,Asia,South Korea,ROK,Christianity,Other,0
1945,Asia,Japan,JPN,Christianity,Other,414804
1950,Asia,Japan,JPN,Christianity,Other,381000
1955,Asia,Japan,JPN,Christianity,Other,281973
1960,Asia,Japan,JPN,Christianity,Other,2284888
1965,Asia,Japan,JPN,Christianity,Other,2125892
1970,Asia,Japan,JPN,Christianity,Other,2221096
1975,Asia,Japan,JPN,Christianity,Other,2364849
1980,Asia,Japan,JPN,Christianity,Other,2901600
1985,Asia,Japan,JPN,Christianity,Other,2547510
1990,Asia,Japan,JPN,Christianity,Other,2645340
1995,Asia,Japan,JPN,Christianity,Other,2677118
2000,Asia,Japan,JPN,Christianity,Other,28371
2005,Asia,Japan,JPN,Christianity,Other,28608
2010,Asia,Japan,JPN,Christianity,Other,23840
1950,Asia,India,IND,Christianity,Other,329766
1955,Asia,India,IND,Christianity,Other,0
1960,Asia,India,IND,Christianity,Other,0
1965,Asia,India,IND,Christianity,Other,0
1970,Asia,India,IND,Christianity,Other,3325360
1975,Asia,India,IND,Christianity,Other,6809925
1980,Asia,India,IND,Christianity,Other,10294490
1985,Asia,India,IND,Christianity,Other,10696393
1990,Asia,India,IND,Christianity,Other,12469351
1995,Asia,India,IND,Christianity,Other,13669993
2000,Asia,India,IND,Christianity,Other,7151119
2005,Asia,India,IND,Christianity,Other,7729298
2010,Asia,India,IND,Christianity,Other,8307478
1975,Asia,Bhutan,BHU,Christianity,Other,687
1980,Asia,Bhutan,BHU,Christianity,Other,410
1985,Asia,Bhutan,BHU,Christianity,Other,5605
1990,Asia,Bhutan,BHU,Christianity,Other,10800
1995,Asia,Bhutan,BHU,Christianity,Other,9308
2000,Asia,Bhutan,BHU,Christianity,Other,8000
2005,Asia,Bhutan,BHU,Christianity,Other,2330
2010,Asia,Bhutan,BHU,Christianity,Other,2974
1950,Asia,Pakistan,PAK,Christianity,Other,160925
1955,Asia,Pakistan,PAK,Christianity,Other,0
1960,Asia,Pakistan,PAK,Christianity,Other,0
1965,Asia,Pakistan,PAK,Christianity,Other,0
1970,Asia,Pakistan,PAK,Christianity,Other,483095
1975,Asia,Pakistan,PAK,Christianity,Other,491797
1980,Asia,Pakistan,PAK,Christianity,Other,500500
1985,Asia,Pakistan,PAK,Christianity,Other,1082900
1990,Asia,Pakistan,PAK,Christianity,Other,1665300
1995,Asia,Pakistan,PAK,Christianity,Other,986613
2000,Asia,Pakistan,PAK,Christianity,Other,773972
2005,Asia,Pakistan,PAK,Christianity,Other,761493
2010,Asia,Pakistan,PAK,Christianity,Other,833144
1975,Asia,Bangladesh,BNG,Christianity,Other,15792
1980,Asia,Bangladesh,BNG,Christianity,Other,17735
1985,Asia,Bangladesh,BNG,Christianity,Other,19844
1990,Asia,Bangladesh,BNG,Christianity,Other,21953
1995,Asia,Bangladesh,BNG,Christianity,Other,19347
2000,Asia,Bangladesh,BNG,Christianity,Other,16741
2005,Asia,Bangladesh,BNG,Christianity,Other,37828
2010,Asia,Bangladesh,BNG,Christianity,Other,58916
1950,Asia,Myanmar,MYA,Christianity,Other,21382
1955,Asia,Myanmar,MYA,Christianity,Other,0
1960,Asia,Myanmar,MYA,Christianity,Other,0
1965,Asia,Myanmar,MYA,Christianity,Other,0
1970,Asia,Myanmar,MYA,Christianity,Other,95306
1975,Asia,Myanmar,MYA,Christianity,Other,346223
1980,Asia,Myanmar,MYA,Christianity,Other,597140
1985,Asia,Myanmar,MYA,Christianity,Other,0
1990,Asia,Myanmar,MYA,Christianity,Other,0
1995,Asia,Myanmar,MYA,Christianity,Other,396429
2000,Asia,Myanmar,MYA,Christianity,Other,320000
2005,Asia,Myanmar,MYA,Christianity,Other,434839
2010,Asia,Myanmar,MYA,Christianity,Other,500000
1950,Asia,Sri Lanka,SRI,Christianity,Other,7548
1955,Asia,Sri Lanka,SRI,Christianity,Other,68195
1960,Asia,Sri Lanka,SRI,Christianity,Other,101034
1965,Asia,Sri Lanka,SRI,Christianity,Other,116733
1970,Asia,Sri Lanka,SRI,Christianity,Other,21958
1975,Asia,Sri Lanka,SRI,Christianity,Other,0
1980,Asia,Sri Lanka,SRI,Christianity,Other,0
1985,Asia,Sri Lanka,SRI,Christianity,Other,0
1990,Asia,Sri Lanka,SRI,Christianity,Other,0
1995,Asia,Sri Lanka,SRI,Christianity,Other,25901
2000,Asia,Sri Lanka,SRI,Christianity,Other,13178
2005,Asia,Sri Lanka,SRI,Christianity,Other,15734
2010,Asia,Sri Lanka,SRI,Christianity,Other,10043
1965,Asia,Maldives,MAD,Christianity,Other,0
1970,Asia,Maldives,MAD,Christianity,Other,10
1975,Asia,Maldives,MAD,Christianity,Other,5
1980,Asia,Maldives,MAD,Christianity,Other,0
1985,Asia,Maldives,MAD,Christianity,Other,45
1990,Asia,Maldives,MAD,Christianity,Other,90
1995,Asia,Maldives,MAD,Christianity,Other,84
2000,Asia,Maldives,MAD,Christianity,Other,0
2005,Asia,Maldives,MAD,Christianity,Other,0
2010,Asia,Maldives,MAD,Christianity,Other,0
1945,Asia,Nepal,NEP,Christianity,Other,0
1950,Asia,Nepal,NEP,Christianity,Other,24
1955,Asia,Nepal,NEP,Christianity,Other,1346
1960,Asia,Nepal,NEP,Christianity,Other,2668
1965,Asia,Nepal,NEP,Christianity,Other,3990
1970,Asia,Nepal,NEP,Christianity,Other,5313
1975,Asia,Nepal,NEP,Christianity,Other,4428
1980,Asia,Nepal,NEP,Christianity,Other,3542
1985,Asia,Nepal,NEP,Christianity,Other,257271
1990,Asia,Nepal,NEP,Christianity,Other,511000
1995,Asia,Nepal,NEP,Christianity,Other,475372
2000,Asia,Nepal,NEP,Christianity,Other,350312
2005,Asia,Nepal,NEP,Christianity,Other,339671
2010,Asia,Nepal,NEP,Christianity,Other,329030
1945,Asia,Thailand,THI,Christianity,Other,12183
1950,Asia,Thailand,THI,Christianity,Other,4286
1955,Asia,Thailand,THI,Christianity,Other,0
1960,Asia,Thailand,THI,Christianity,Other,0
1965,Asia,Thailand,THI,Christianity,Other,0
1970,Asia,Thailand,THI,Christianity,Other,50408
1975,Asia,Thailand,THI,Christianity,Other,216258
1980,Asia,Thailand,THI,Christianity,Other,382107
1985,Asia,Thailand,THI,Christianity,Other,768646
1990,Asia,Thailand,THI,Christianity,Other,1155185
1995,Asia,Thailand,THI,Christianity,Other,49996
2000,Asia,Thailand,THI,Christianity,Other,51677
2005,Asia,Thailand,THI,Christianity,Other,30384
2010,Asia,Thailand,THI,Christianity,Other,34003
1955,Asia,Cambodia,CAM,Christianity,Other,0
1960,Asia,Cambodia,CAM,Christianity,Other,0
1965,Asia,Cambodia,CAM,Christianity,Other,0
1970,Asia,Cambodia,CAM,Christianity,Other,38583
1975,Asia,Cambodia,CAM,Christianity,Other,45104
1980,Asia,Cambodia,CAM,Christianity,Other,51626
1985,Asia,Cambodia,CAM,Christianity,Other,58147
1990,Asia,Cambodia,CAM,Christianity,Other,64670
1995,Asia,Cambodia,CAM,Christianity,Other,47794
2000,Asia,Cambodia,CAM,Christianity,Other,31633
2005,Asia,Cambodia,CAM,Christianity,Other,27744
2010,Asia,Cambodia,CAM,Christianity,Other,23854
1955,Asia,Laos,LAO,Christianity,Other,40283
1960,Asia,Laos,LAO,Christianity,Other,44526
1965,Asia,Laos,LAO,Christianity,Other,19710
1970,Asia,Laos,LAO,Christianity,Other,439
1975,Asia,Laos,LAO,Christianity,Other,0
1980,Asia,Laos,LAO,Christianity,Other,0
1985,Asia,Laos,LAO,Christianity,Other,42950
1990,Asia,Laos,LAO,Christianity,Other,48300
1995,Asia,Laos,LAO,Christianity,Other,44873
2000,Asia,Laos,LAO,Christianity,Other,1206
2005,Asia,Laos,LAO,Christianity,Other,945
2010,Asia,Laos,LAO,Christianity,Other,1022
1955,Asia,Vietnam,DRV,Christianity,Other,135500
1960,Asia,Vietnam,DRV,Christianity,Other,161000
1965,Asia,Vietnam,DRV,Christianity,Other,190000
1970,Asia,Vietnam,DRV,Christianity,Other,211500
1975,Asia,Vietnam,DRV,Christianity,Other,240320
1980,Asia,Vietnam,DRV,Christianity,Other,1074640
1985,Asia,Vietnam,DRV,Christianity,Other,537320
1990,Asia,Vietnam,DRV,Christianity,Other,0
1995,Asia,Vietnam,DRV,Christianity,Other,0
2000,Asia,Vietnam,DRV,Christianity,Other,0
2005,Asia,Vietnam,DRV,Christianity,Other,0
2010,Asia,Vietnam,DRV,Christianity,Other,0
1955,Asia,Republic of Vietnam,RVN,Christianity,Other,0
1960,Asia,Republic of Vietnam,RVN,Christianity,Other,0
1965,Asia,Republic of Vietnam,RVN,Christianity,Other,0
1970,Asia,Republic of Vietnam,RVN,Christianity,Other,0
1960,Asia,Malaysia,MAL,Christianity,Other,0
1965,Asia,Malaysia,MAL,Christianity,Other,0
1970,Asia,Malaysia,MAL,Christianity,Other,35352
1975,Asia,Malaysia,MAL,Christianity,Other,85076
1980,Asia,Malaysia,MAL,Christianity,Other,134800
1985,Asia,Malaysia,MAL,Christianity,Other,283860
1990,Asia,Malaysia,MAL,Christianity,Other,473833
1995,Asia,Malaysia,MAL,Christianity,Other,570670
2000,Asia,Malaysia,MAL,Christianity,Other,594916
2005,Asia,Malaysia,MAL,Christianity,Other,610509
2010,Asia,Malaysia,MAL,Christianity,Other,626103
1965,Asia,Singapore,SIN,Christianity,Other,33567
1970,Asia,Singapore,SIN,Christianity,Other,35447
1975,Asia,Singapore,SIN,Christianity,Other,36398
1980,Asia,Singapore,SIN,Christianity,Other,37350
1985,Asia,Singapore,SIN,Christianity,Other,55510
1990,Asia,Singapore,SIN,Christianity,Other,104300
1995,Asia,Singapore,SIN,Christianity,Other,153421
2000,Asia,Singapore,SIN,Christianity,Other,181801
2005,Asia,Singapore,SIN,Christianity,Other,208113
2010,Asia,Singapore,SIN,Christianity,Other,234426
1985,Asia,Brunei,BRU,Christianity,Other,9097
1990,Asia,Brunei,BRU,Christianity,Other,11350
1995,Asia,Brunei,BRU,Christianity,Other,8880
2000,Asia,Brunei,BRU,Christianity,Other,8865
2005,Asia,Brunei,BRU,Christianity,Other,10270
2010,Asia,Brunei,BRU,Christianity,Other,3341
1950,Asia,Philippines,PHI,Christianity,Other,1163432
1955,Asia,Philippines,PHI,Christianity,Other,1414080
1960,Asia,Philippines,PHI,Christianity,Other,1354400
1965,Asia,Philippines,PHI,Christianity,Other,956430
1970,Asia,Philippines,PHI,Christianity,Other,963836
1975,Asia,Philippines,PHI,Christianity,Other,1682840
1980,Asia,Philippines,PHI,Christianity,Other,1449510
1985,Asia,Philippines,PHI,Christianity,Other,2186720
1990,Asia,Philippines,PHI,Christianity,Other,1550835
1995,Asia,Philippines,PHI,Christianity,Other,1775417
2000,Asia,Philippines,PHI,Christianity,Other,2000000
2005,Asia,Philippines,PHI,Christianity,Other,4001910
2010,Asia,Philippines,PHI,Christianity,Other,391112
1950,Asia,Indonesia,INS,Christianity,Other,427388
1955,Asia,Indonesia,INS,Christianity,Other,1731040
1960,Asia,Indonesia,INS,Christianity,Other,1625775
1965,Asia,Indonesia,INS,Christianity,Other,1814160
1970,Asia,Indonesia,INS,Christianity,Other,3536310
1975,Asia,Indonesia,INS,Christianity,Other,3915120
1990,Asia,Indonesia,INS,Christianity,Other,2100000
1995,Asia,Indonesia,INS,Christianity,Other,1700000
2000,Asia,Indonesia,INS,Christianity,Other,1300000
2005,Asia,Indonesia,INS,Christianity,Other,1371433
2010,Asia,Indonesia,INS,Christianity,Other,1442867
2005,Asia,East Timor,ETM,Christianity,Other,0
2010,Asia,East Timor,ETM,Christianity,Other,0
1945,Oceania,Australia,AUL,Christianity,Other,1330560
1950,Oceania,Australia,AUL,Christianity,Other,1492134
1955,Oceania,Australia,AUL,Christianity,Other,1840000
1960,Oceania,Australia,AUL,Christianity,Other,2050000
